mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,rms,glcm_1,glcm_2,glcm_3,glcm_4,glcm_5,glcm_6,hog_1,hog_2,hog_3,hog_4,hog_5,hog_6,hog_7,hog_8,hog_9,hog_10,hog_11,hog_12,hog_13,hog_14,hog_15,hog_16,hog_17,hog_18,hog_19,hog_20,hog_21,hog_22,hog_23,hog_24,hog_25,hog_26,hog_27,hog_28,hog_29,hog_30,hog_31,hog_32,hog_33,hog_34,hog_35,hog_36,hog_37,hog_38,hog_39,hog_40,hog_41,hog_42,hog_43,hog_44,hog_45,hog_46,hog_47,hog_48,hog_49,hog_50,label
-9.472457231648189,-9.42654107505736,-31.906590140208596,8.925354293718387,-4.724329890411911,-8.657914145086577,3.424765864645324,-18.03877223422618,-8.552533814787871,2.207409128403704,-10.971731201469336,-1.7659855895680947,0.024755459270993475,0.08607709750566893,0.011605649185263465,605.8866372745491,4.144256513026051,0.7471102190113588,0.13436973082035814,0.3665647702935433,0.9469247768381299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.103197439769602,-9.32728343968962,-30.473214856035533,5.939918656114664,2.980536541149618,-10.168262237317617,5.382259181273814,-8.425549951072824,-14.569588525183653,1.1748167373000653,-5.84914145513756,-6.68244870927744,3.5731479427283714,0.07793650793650794,0.00959317782840661,603.0138997995991,4.1629018036072125,0.7378169989685655,0.13442373172798494,0.3666384209653769,0.9497388828895226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-7.999990451525487,-8.045146875544827,-32.164011057038465,5.193788104502192,1.4200915967992063,-10.832683227276725,5.041916318752636,-10.57681493834012,-14.933444991692499,3.206135147526658,-5.487185107907831,-7.035691859776814,2.682068498637015,0.06839002267573696,0.028345176128325125,604.9023647294589,4.208865731462926,0.7349362245764719,0.13462884441427944,0.366918035008201,0.9476215810333148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.10246014358187,4.641331297942893,-26.78288544501983,4.778595472528493,3.226882514933504,-12.31727416299132,6.243078527945457,-17.570264734750516,-23.652962520815404,3.6969926844552297,-9.407575139455023,-12.944321990379969,-1.3813192364271092,0.04727891156462585,0.00595062372369418,606.3979799599197,4.308072144288576,0.7165062820206288,0.13470777482821347,0.3670255778937123,0.949574753985232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.199153659205683,4.1752072776912135,-27.363789627563868,7.892409553924015,1.0382289245734746,-9.749139985332096,3.8868980427067603,-25.218930063412873,-9.462099289189444,7.365114471220569,-14.11005966720449,-6.3599416051727555,-2.517838695762428,0.05897959183673469,0.003992487811068983,611.2463967935871,4.2905010020040075,0.719783561737581,0.13439553299785942,0.3665999631722014,0.946703415915078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.545622842187695,1.5255570857062015,-27.155746518113006,9.575605887487951,-5.176710872146027,-9.619963476921157,-4.207259062354312,-28.40029054389191,1.257074584293704,-2.2040795333466288,-17.33591444977104,-0.8222745867685721,-9.200173142799372,0.06546485260770975,0.0027957603767733786,612.2938196392785,4.281843687374749,0.7211532274117227,0.13438947030734813,0.36659169426945304,0.9450439268919355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.768856379745763,2.975633999020424,-29.23774988893629,4.419075845830383,4.286129985209057,-9.769207387651605,2.345839904192191,-24.547147589113102,-7.592608999152711,6.332043312656479,-12.966775011193738,-5.373575452667152,-3.9797244395638343,0.05981859410430839,0.0026783374149288875,605.8439118236473,4.246364729458918,0.7206103480290951,0.13439720428432012,0.36660224260677965,0.950160910699908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-9.044760895435916,3.968408489642504,-27.095695794162346,7.6470966516469145,1.213181554493588,-9.826241269133963,3.9239234945762678,-25.214351316164823,-9.447697290541939,7.34657468812841,-14.087996374185673,-6.359672767730468,-2.5437202375063426,0.05897959183673469,0.007100191082239551,611.4486412825652,4.2871983967935865,0.7207029790840529,0.13451436978967954,0.36676200701501177,0.9463098806499998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.466296553382639,5.526974206039693,-28.8751618111891,0.013085529727601906,5.0803452415136565,-12.350542280064005,3.7026742240727426,-19.46670545545099,-22.65043278001882,3.5784921712685547,-7.756760773584626,-9.628169670595282,-0.6903791649615145,0.05482993197278912,0.00374774051207725,607.8894108216434,4.248016032064128,0.725143817031298,0.134926258513018,0.3673230982568589,0.9472211098031624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
-10.782253708311966,3.808607643490685,-28.15515928468918,4.544899086804612,2.789100118686855,-10.403032071749088,2.0085154902497715,-26.24952696780655,-9.275578925308356,5.899593147150489,-11.462962018038,-2.9054962194547924,-5.08350026718633,0.058072562358276646,0.002759549237122072,622.7738837675349,4.194725450901801,0.7540558387771004,0.13622492391596813,0.3690866076085234,0.9281389328431194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
